================ Training Loss (Thu Oct 31 16:09:11 2024) ================
(epoch: 3, iters: 224, time: 0.067, data: 29.245) D_A: 0.552 G_A: 0.031 cycle_A: 0.177 idt_A: 0.000 D_B: 0.008 G_B: 1.108 cycle_B: 3.147 idt_B: 0.000 
(epoch: 6, iters: 160, time: 0.067, data: 0.000) D_A: 0.535 G_A: 0.024 cycle_A: 0.145 idt_A: 0.000 D_B: 0.009 G_B: 1.067 cycle_B: 2.146 idt_B: 0.000 
(epoch: 9, iters: 96, time: 0.068, data: 0.001) D_A: 0.518 G_A: 0.018 cycle_A: 0.100 idt_A: 0.000 D_B: 0.008 G_B: 1.037 cycle_B: 1.866 idt_B: 0.000 
(epoch: 12, iters: 32, time: 0.077, data: 0.001) D_A: 0.491 G_A: 0.014 cycle_A: 0.111 idt_A: 0.000 D_B: 0.008 G_B: 1.002 cycle_B: 1.755 idt_B: 0.000 
(epoch: 14, iters: 256, time: 0.068, data: 0.000) D_A: 0.478 G_A: 0.014 cycle_A: 0.082 idt_A: 0.000 D_B: 0.008 G_B: 0.984 cycle_B: 1.687 idt_B: 0.000 
(epoch: 17, iters: 192, time: 0.068, data: 0.001) D_A: 0.488 G_A: 0.014 cycle_A: 0.064 idt_A: 0.000 D_B: 0.008 G_B: 0.968 cycle_B: 1.626 idt_B: 0.000 
(epoch: 20, iters: 128, time: 0.329, data: 0.000) D_A: 0.444 G_A: 0.014 cycle_A: 0.052 idt_A: 0.000 D_B: 0.008 G_B: 0.916 cycle_B: 1.627 idt_B: 0.000 
(epoch: 23, iters: 64, time: 0.068, data: 0.000) D_A: 0.440 G_A: 0.012 cycle_A: 0.051 idt_A: 0.000 D_B: 0.008 G_B: 0.891 cycle_B: 1.738 idt_B: 0.000 
(epoch: 25, iters: 288, time: 0.318, data: 0.001) D_A: 0.441 G_A: 0.013 cycle_A: 0.047 idt_A: 0.000 D_B: 0.008 G_B: 0.874 cycle_B: 1.622 idt_B: 0.000 
(epoch: 28, iters: 224, time: 0.068, data: 29.411) D_A: 0.432 G_A: 0.012 cycle_A: 0.044 idt_A: 0.000 D_B: 0.009 G_B: 0.859 cycle_B: 1.605 idt_B: 0.000 
(epoch: 31, iters: 160, time: 0.068, data: 0.000) D_A: 0.395 G_A: 0.012 cycle_A: 0.039 idt_A: 0.000 D_B: 0.008 G_B: 0.850 cycle_B: 1.742 idt_B: 0.000 
(epoch: 34, iters: 96, time: 0.068, data: 0.001) D_A: 0.396 G_A: 0.012 cycle_A: 0.045 idt_A: 0.000 D_B: 0.008 G_B: 0.827 cycle_B: 1.629 idt_B: 0.000 
(epoch: 37, iters: 32, time: 0.078, data: 0.000) D_A: 0.384 G_A: 0.013 cycle_A: 0.035 idt_A: 0.000 D_B: 0.008 G_B: 0.758 cycle_B: 1.565 idt_B: 0.000 
(epoch: 39, iters: 256, time: 0.068, data: 0.000) D_A: 0.377 G_A: 0.012 cycle_A: 0.031 idt_A: 0.000 D_B: 0.008 G_B: 0.790 cycle_B: 1.608 idt_B: 0.000 
(epoch: 42, iters: 192, time: 0.068, data: 0.000) D_A: 0.374 G_A: 0.013 cycle_A: 0.035 idt_A: 0.000 D_B: 0.008 G_B: 0.804 cycle_B: 1.542 idt_B: 0.000 
(epoch: 45, iters: 128, time: 0.332, data: 0.000) D_A: 0.381 G_A: 0.011 cycle_A: 0.033 idt_A: 0.000 D_B: 0.008 G_B: 0.694 cycle_B: 1.536 idt_B: 0.000 
(epoch: 48, iters: 64, time: 0.069, data: 0.001) D_A: 0.355 G_A: 0.012 cycle_A: 0.030 idt_A: 0.000 D_B: 0.008 G_B: 0.719 cycle_B: 1.519 idt_B: 0.000 
(epoch: 50, iters: 288, time: 0.319, data: 0.000) D_A: 0.363 G_A: 0.012 cycle_A: 0.028 idt_A: 0.000 D_B: 0.008 G_B: 0.733 cycle_B: 1.519 idt_B: 0.000 
(epoch: 53, iters: 224, time: 0.069, data: 30.685) D_A: 0.343 G_A: 0.015 cycle_A: 0.032 idt_A: 0.000 D_B: 0.008 G_B: 0.655 cycle_B: 1.636 idt_B: 0.000 
(epoch: 56, iters: 160, time: 0.068, data: 0.000) D_A: 0.355 G_A: 0.013 cycle_A: 0.039 idt_A: 0.000 D_B: 0.008 G_B: 0.682 cycle_B: 1.508 idt_B: 0.000 
(epoch: 59, iters: 96, time: 0.068, data: 0.001) D_A: 0.330 G_A: 0.009 cycle_A: 0.021 idt_A: 0.000 D_B: 0.008 G_B: 0.664 cycle_B: 1.506 idt_B: 0.000 
(epoch: 62, iters: 32, time: 0.078, data: 0.001) D_A: 0.335 G_A: 0.009 cycle_A: 0.025 idt_A: 0.000 D_B: 0.008 G_B: 0.647 cycle_B: 1.533 idt_B: 0.000 
(epoch: 64, iters: 256, time: 0.068, data: 0.000) D_A: 0.323 G_A: 0.009 cycle_A: 0.022 idt_A: 0.000 D_B: 0.008 G_B: 0.615 cycle_B: 1.533 idt_B: 0.000 
(epoch: 67, iters: 192, time: 0.068, data: 0.001) D_A: 0.331 G_A: 0.009 cycle_A: 0.021 idt_A: 0.000 D_B: 0.008 G_B: 0.573 cycle_B: 1.522 idt_B: 0.000 
(epoch: 70, iters: 128, time: 0.335, data: 0.000) D_A: 0.320 G_A: 0.010 cycle_A: 0.022 idt_A: 0.000 D_B: 0.008 G_B: 0.582 cycle_B: 1.515 idt_B: 0.000 
(epoch: 73, iters: 64, time: 0.068, data: 0.000) D_A: 0.319 G_A: 0.011 cycle_A: 0.020 idt_A: 0.000 D_B: 0.009 G_B: 0.598 cycle_B: 1.535 idt_B: 0.000 
(epoch: 75, iters: 288, time: 0.313, data: 0.001) D_A: 0.310 G_A: 0.008 cycle_A: 0.020 idt_A: 0.000 D_B: 0.008 G_B: 0.567 cycle_B: 1.480 idt_B: 0.000 
(epoch: 78, iters: 224, time: 0.068, data: 29.606) D_A: 0.315 G_A: 0.009 cycle_A: 0.018 idt_A: 0.000 D_B: 0.008 G_B: 0.529 cycle_B: 1.581 idt_B: 0.000 
(epoch: 81, iters: 160, time: 0.068, data: 0.000) D_A: 0.308 G_A: 0.008 cycle_A: 0.022 idt_A: 0.000 D_B: 0.008 G_B: 0.520 cycle_B: 1.513 idt_B: 0.000 
(epoch: 84, iters: 96, time: 0.068, data: 0.000) D_A: 0.305 G_A: 0.011 cycle_A: 0.018 idt_A: 0.000 D_B: 0.008 G_B: 0.538 cycle_B: 1.528 idt_B: 0.000 
(epoch: 87, iters: 32, time: 0.079, data: 0.001) D_A: 0.295 G_A: 0.014 cycle_A: 0.021 idt_A: 0.000 D_B: 0.008 G_B: 0.553 cycle_B: 1.505 idt_B: 0.000 
(epoch: 89, iters: 256, time: 0.068, data: 0.000) D_A: 0.302 G_A: 0.008 cycle_A: 0.014 idt_A: 0.000 D_B: 0.008 G_B: 0.477 cycle_B: 1.493 idt_B: 0.000 
(epoch: 92, iters: 192, time: 0.068, data: 0.001) D_A: 0.297 G_A: 0.008 cycle_A: 0.012 idt_A: 0.000 D_B: 0.008 G_B: 0.487 cycle_B: 1.499 idt_B: 0.000 
(epoch: 95, iters: 128, time: 0.332, data: 0.000) D_A: 0.298 G_A: 0.008 cycle_A: 0.018 idt_A: 0.000 D_B: 0.008 G_B: 0.486 cycle_B: 1.502 idt_B: 0.000 
(epoch: 98, iters: 64, time: 0.068, data: 0.000) D_A: 0.294 G_A: 0.008 cycle_A: 0.013 idt_A: 0.000 D_B: 0.008 G_B: 0.464 cycle_B: 1.459 idt_B: 0.000 
(epoch: 100, iters: 288, time: 0.317, data: 0.000) D_A: 0.295 G_A: 0.007 cycle_A: 0.017 idt_A: 0.000 D_B: 0.008 G_B: 0.503 cycle_B: 1.471 idt_B: 0.000 
(epoch: 103, iters: 224, time: 0.068, data: 29.517) D_A: 0.290 G_A: 0.008 cycle_A: 0.011 idt_A: 0.000 D_B: 0.008 G_B: 0.450 cycle_B: 1.453 idt_B: 0.000 
(epoch: 106, iters: 160, time: 0.068, data: 0.000) D_A: 0.288 G_A: 0.007 cycle_A: 0.011 idt_A: 0.000 D_B: 0.009 G_B: 0.441 cycle_B: 1.461 idt_B: 0.000 
