================ Training Loss (Sun Nov  3 23:32:20 2024) ================
(epoch: 3, iters: 224, time: 0.067, data: 31.921) D_A: 0.490 G_A: 0.030 cycle_A: 0.192 idt_A: 0.000 D_B: 0.008 G_B: 0.988 cycle_B: 3.193 idt_B: 0.000 
(epoch: 6, iters: 160, time: 0.067, data: 0.000) D_A: 0.474 G_A: 0.023 cycle_A: 0.144 idt_A: 0.000 D_B: 0.008 G_B: 0.981 cycle_B: 1.868 idt_B: 0.000 
(epoch: 9, iters: 96, time: 0.067, data: 0.000) D_A: 0.458 G_A: 0.017 cycle_A: 0.107 idt_A: 0.000 D_B: 0.008 G_B: 0.946 cycle_B: 1.587 idt_B: 0.000 
(epoch: 12, iters: 32, time: 0.077, data: 0.000) D_A: 0.438 G_A: 0.015 cycle_A: 0.072 idt_A: 0.000 D_B: 0.008 G_B: 0.931 cycle_B: 1.470 idt_B: 0.000 
(epoch: 14, iters: 256, time: 0.067, data: 0.000) D_A: 0.432 G_A: 0.014 cycle_A: 0.061 idt_A: 0.000 D_B: 0.008 G_B: 0.907 cycle_B: 1.435 idt_B: 0.000 
(epoch: 17, iters: 192, time: 0.067, data: 0.000) D_A: 0.415 G_A: 0.013 cycle_A: 0.059 idt_A: 0.000 D_B: 0.008 G_B: 0.887 cycle_B: 1.437 idt_B: 0.000 
(epoch: 20, iters: 128, time: 0.332, data: 0.001) D_A: 0.404 G_A: 0.013 cycle_A: 0.056 idt_A: 0.000 D_B: 0.008 G_B: 0.845 cycle_B: 1.423 idt_B: 0.000 
(epoch: 23, iters: 64, time: 0.067, data: 0.000) D_A: 0.392 G_A: 0.012 cycle_A: 0.053 idt_A: 0.000 D_B: 0.008 G_B: 0.818 cycle_B: 1.412 idt_B: 0.000 
(epoch: 25, iters: 288, time: 0.317, data: 0.000) D_A: 0.408 G_A: 0.013 cycle_A: 0.066 idt_A: 0.000 D_B: 0.008 G_B: 0.759 cycle_B: 1.434 idt_B: 0.000 
(epoch: 28, iters: 224, time: 0.067, data: 29.656) D_A: 0.379 G_A: 0.013 cycle_A: 0.051 idt_A: 0.000 D_B: 0.008 G_B: 0.736 cycle_B: 1.411 idt_B: 0.000 
(epoch: 31, iters: 160, time: 0.067, data: 0.001) D_A: 0.368 G_A: 0.013 cycle_A: 0.048 idt_A: 0.000 D_B: 0.008 G_B: 0.783 cycle_B: 1.418 idt_B: 0.000 
(epoch: 34, iters: 96, time: 0.067, data: 0.000) D_A: 0.347 G_A: 0.013 cycle_A: 0.051 idt_A: 0.000 D_B: 0.008 G_B: 0.743 cycle_B: 1.410 idt_B: 0.000 
(epoch: 37, iters: 32, time: 0.082, data: 0.000) D_A: 0.355 G_A: 0.013 cycle_A: 0.052 idt_A: 0.000 D_B: 0.008 G_B: 0.675 cycle_B: 1.415 idt_B: 0.000 
(epoch: 39, iters: 256, time: 0.067, data: 0.000) D_A: 0.349 G_A: 0.012 cycle_A: 0.046 idt_A: 0.000 D_B: 0.008 G_B: 0.652 cycle_B: 1.404 idt_B: 0.000 
