================ Training Loss (Tue Nov  5 00:11:15 2024) ================
(epoch: 3, iters: 224, time: 0.067, data: 29.696) D_A: 0.483 G_A: 0.032 cycle_A: 0.139 idt_A: 0.000 D_B: 0.008 G_B: 0.975 cycle_B: 3.817 idt_B: 0.000 
(epoch: 6, iters: 160, time: 0.067, data: 0.000) D_A: 0.466 G_A: 0.024 cycle_A: 0.099 idt_A: 0.000 D_B: 0.008 G_B: 0.940 cycle_B: 2.223 idt_B: 0.000 
(epoch: 9, iters: 96, time: 0.067, data: 0.000) D_A: 0.451 G_A: 0.018 cycle_A: 0.083 idt_A: 0.000 D_B: 0.009 G_B: 0.915 cycle_B: 1.730 idt_B: 0.000 
(epoch: 12, iters: 32, time: 0.077, data: 0.000) D_A: 0.439 G_A: 0.013 cycle_A: 0.064 idt_A: 0.000 D_B: 0.008 G_B: 0.897 cycle_B: 1.560 idt_B: 0.000 
(epoch: 14, iters: 256, time: 0.067, data: 0.001) D_A: 0.428 G_A: 0.013 cycle_A: 0.061 idt_A: 0.000 D_B: 0.008 G_B: 0.864 cycle_B: 1.462 idt_B: 0.000 
(epoch: 17, iters: 192, time: 0.067, data: 0.000) D_A: 0.405 G_A: 0.012 cycle_A: 0.065 idt_A: 0.000 D_B: 0.008 G_B: 0.862 cycle_B: 1.465 idt_B: 0.000 
(epoch: 20, iters: 128, time: 0.336, data: 0.000) D_A: 0.407 G_A: 0.012 cycle_A: 0.067 idt_A: 0.000 D_B: 0.008 G_B: 0.805 cycle_B: 1.450 idt_B: 0.000 
(epoch: 23, iters: 64, time: 0.067, data: 0.000) D_A: 0.401 G_A: 0.011 cycle_A: 0.047 idt_A: 0.000 D_B: 0.008 G_B: 0.786 cycle_B: 1.430 idt_B: 0.000 
(epoch: 25, iters: 288, time: 0.319, data: 0.000) D_A: 0.381 G_A: 0.011 cycle_A: 0.042 idt_A: 0.000 D_B: 0.008 G_B: 0.737 cycle_B: 1.424 idt_B: 0.000 
(epoch: 28, iters: 224, time: 0.067, data: 29.424) D_A: 0.365 G_A: 0.011 cycle_A: 0.045 idt_A: 0.000 D_B: 0.009 G_B: 0.760 cycle_B: 1.432 idt_B: 0.000 
(epoch: 31, iters: 160, time: 0.067, data: 0.001) D_A: 0.351 G_A: 0.011 cycle_A: 0.043 idt_A: 0.000 D_B: 0.008 G_B: 0.706 cycle_B: 1.398 idt_B: 0.000 
(epoch: 34, iters: 96, time: 0.067, data: 0.001) D_A: 0.351 G_A: 0.010 cycle_A: 0.044 idt_A: 0.000 D_B: 0.008 G_B: 0.749 cycle_B: 1.403 idt_B: 0.000 
