================ Training Loss (Wed Nov  6 23:55:44 2024) ================
(epoch: 3, iters: 224, time: 0.067, data: 30.460) D_A: 0.523 G_A: 0.034 cycle_A: 0.100 idt_A: 0.000 D_B: 0.008 G_B: 1.032 cycle_B: 4.321 idt_B: 0.000 
(epoch: 6, iters: 160, time: 0.067, data: 0.001) D_A: 0.503 G_A: 0.027 cycle_A: 0.098 idt_A: 0.000 D_B: 0.008 G_B: 1.019 cycle_B: 2.665 idt_B: 0.000 
(epoch: 9, iters: 96, time: 0.067, data: 0.001) D_A: 0.485 G_A: 0.021 cycle_A: 0.090 idt_A: 0.000 D_B: 0.008 G_B: 0.985 cycle_B: 1.824 idt_B: 0.000 
(epoch: 12, iters: 32, time: 0.077, data: 0.001) D_A: 0.483 G_A: 0.019 cycle_A: 0.072 idt_A: 0.000 D_B: 0.008 G_B: 0.954 cycle_B: 1.530 idt_B: 0.000 
(epoch: 14, iters: 256, time: 0.067, data: 0.001) D_A: 0.448 G_A: 0.015 cycle_A: 0.076 idt_A: 0.000 D_B: 0.008 G_B: 0.930 cycle_B: 1.401 idt_B: 0.000 
(epoch: 17, iters: 192, time: 0.067, data: 0.001) D_A: 0.436 G_A: 0.014 cycle_A: 0.063 idt_A: 0.000 D_B: 0.008 G_B: 0.912 cycle_B: 1.367 idt_B: 0.000 
(epoch: 20, iters: 128, time: 0.332, data: 0.000) D_A: 0.421 G_A: 0.013 cycle_A: 0.057 idt_A: 0.000 D_B: 0.008 G_B: 0.876 cycle_B: 1.352 idt_B: 0.000 
(epoch: 23, iters: 64, time: 0.068, data: 0.000) D_A: 0.438 G_A: 0.013 cycle_A: 0.058 idt_A: 0.000 D_B: 0.008 G_B: 0.835 cycle_B: 1.354 idt_B: 0.000 
(epoch: 25, iters: 288, time: 0.321, data: 0.000) D_A: 0.414 G_A: 0.013 cycle_A: 0.065 idt_A: 0.000 D_B: 0.008 G_B: 0.836 cycle_B: 1.298 idt_B: 0.000 
(epoch: 28, iters: 224, time: 0.067, data: 29.725) D_A: 0.393 G_A: 0.013 cycle_A: 0.055 idt_A: 0.000 D_B: 0.008 G_B: 0.816 cycle_B: 1.287 idt_B: 0.000 
(epoch: 31, iters: 160, time: 0.067, data: 0.000) D_A: 0.385 G_A: 0.013 cycle_A: 0.061 idt_A: 0.000 D_B: 0.008 G_B: 0.739 cycle_B: 1.309 idt_B: 0.000 
(epoch: 34, iters: 96, time: 0.067, data: 0.001) D_A: 0.367 G_A: 0.013 cycle_A: 0.049 idt_A: 0.000 D_B: 0.008 G_B: 0.739 cycle_B: 1.286 idt_B: 0.000 
(epoch: 37, iters: 32, time: 0.079, data: 0.000) D_A: 0.364 G_A: 0.012 cycle_A: 0.049 idt_A: 0.000 D_B: 0.008 G_B: 0.729 cycle_B: 1.289 idt_B: 0.000 
(epoch: 39, iters: 256, time: 0.068, data: 0.001) D_A: 0.367 G_A: 0.012 cycle_A: 0.048 idt_A: 0.000 D_B: 0.008 G_B: 0.687 cycle_B: 1.289 idt_B: 0.000 
(epoch: 42, iters: 192, time: 0.067, data: 0.000) D_A: 0.337 G_A: 0.012 cycle_A: 0.050 idt_A: 0.000 D_B: 0.008 G_B: 0.697 cycle_B: 1.269 idt_B: 0.000 
(epoch: 45, iters: 128, time: 0.332, data: 0.000) D_A: 0.344 G_A: 0.012 cycle_A: 0.048 idt_A: 0.000 D_B: 0.008 G_B: 0.666 cycle_B: 1.264 idt_B: 0.000 
(epoch: 48, iters: 64, time: 0.067, data: 0.000) D_A: 0.329 G_A: 0.012 cycle_A: 0.048 idt_A: 0.000 D_B: 0.008 G_B: 0.666 cycle_B: 1.289 idt_B: 0.000 
(epoch: 50, iters: 288, time: 0.316, data: 0.001) D_A: 0.318 G_A: 0.012 cycle_A: 0.049 idt_A: 0.000 D_B: 0.008 G_B: 0.642 cycle_B: 1.257 idt_B: 0.000 
(epoch: 53, iters: 224, time: 0.068, data: 29.650) D_A: 0.337 G_A: 0.012 cycle_A: 0.049 idt_A: 0.000 D_B: 0.008 G_B: 0.678 cycle_B: 1.268 idt_B: 0.000 
(epoch: 56, iters: 160, time: 0.067, data: 0.001) D_A: 0.324 G_A: 0.012 cycle_A: 0.040 idt_A: 0.000 D_B: 0.008 G_B: 0.602 cycle_B: 1.260 idt_B: 0.000 
(epoch: 59, iters: 96, time: 0.067, data: 0.000) D_A: 0.328 G_A: 0.012 cycle_A: 0.045 idt_A: 0.000 D_B: 0.008 G_B: 0.604 cycle_B: 1.249 idt_B: 0.000 
(epoch: 62, iters: 32, time: 0.082, data: 0.000) D_A: 0.319 G_A: 0.012 cycle_A: 0.043 idt_A: 0.000 D_B: 0.008 G_B: 0.569 cycle_B: 1.256 idt_B: 0.000 
(epoch: 64, iters: 256, time: 0.067, data: 0.001) D_A: 0.322 G_A: 0.012 cycle_A: 0.042 idt_A: 0.000 D_B: 0.008 G_B: 0.614 cycle_B: 1.266 idt_B: 0.000 
(epoch: 67, iters: 192, time: 0.067, data: 0.000) D_A: 0.313 G_A: 0.012 cycle_A: 0.048 idt_A: 0.000 D_B: 0.008 G_B: 0.550 cycle_B: 1.263 idt_B: 0.000 
(epoch: 70, iters: 128, time: 0.334, data: 0.000) D_A: 0.307 G_A: 0.012 cycle_A: 0.042 idt_A: 0.000 D_B: 0.008 G_B: 0.544 cycle_B: 1.248 idt_B: 0.000 
(epoch: 73, iters: 64, time: 0.068, data: 0.000) D_A: 0.298 G_A: 0.012 cycle_A: 0.039 idt_A: 0.000 D_B: 0.009 G_B: 0.523 cycle_B: 1.259 idt_B: 0.000 
(epoch: 75, iters: 288, time: 0.319, data: 0.000) D_A: 0.308 G_A: 0.012 cycle_A: 0.037 idt_A: 0.000 D_B: 0.008 G_B: 0.512 cycle_B: 1.267 idt_B: 0.000 
(epoch: 78, iters: 224, time: 0.068, data: 29.684) D_A: 0.294 G_A: 0.012 cycle_A: 0.038 idt_A: 0.000 D_B: 0.008 G_B: 0.580 cycle_B: 1.258 idt_B: 0.000 
(epoch: 81, iters: 160, time: 0.067, data: 0.000) D_A: 0.289 G_A: 0.013 cycle_A: 0.040 idt_A: 0.000 D_B: 0.008 G_B: 0.544 cycle_B: 1.239 idt_B: 0.000 
(epoch: 84, iters: 96, time: 0.067, data: 0.000) D_A: 0.279 G_A: 0.012 cycle_A: 0.036 idt_A: 0.000 D_B: 0.008 G_B: 0.502 cycle_B: 1.303 idt_B: 0.000 
(epoch: 87, iters: 32, time: 0.083, data: 0.000) D_A: 0.269 G_A: 0.013 cycle_A: 0.040 idt_A: 0.000 D_B: 0.008 G_B: 0.466 cycle_B: 1.249 idt_B: 0.000 
(epoch: 89, iters: 256, time: 0.067, data: 0.000) D_A: 0.275 G_A: 0.012 cycle_A: 0.035 idt_A: 0.000 D_B: 0.008 G_B: 0.485 cycle_B: 1.283 idt_B: 0.000 
